date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-20,7.8,7.81,7.72,7.71,13258.69,-0.07,-0.9,7.796,7.766,7.813,22402.92,27974.33,27732.51
2018-09-19,7.7,7.84,7.79,7.61,27821.36,0.08,1.04,7.822,7.771,7.816,27113.31,27938.56,28550.85
2018-09-18,7.72,7.72,7.71,7.6,28043.39,-0.14,-1.78,7.804,7.779,7.812,27140.77,26715.62,28413.89
2018-09-17,7.92,7.92,7.85,7.73,18972.04,-0.06,-0.76,7.802,7.798,7.814,31669.69,26043.82,29486.09
2018-09-14,7.87,7.93,7.91,7.85,23919.12,0.06,0.76,7.76,7.794,7.797,33139.61,26435.92,29922.51
2018-09-13,7.7,7.86,7.85,7.67,36810.66,0.15,1.95,7.736,7.783,7.775,33545.74,26644.54,29691.82
2018-09-12,7.69,7.73,7.7,7.6,27958.63,0.0,0.0,7.72,7.789,7.758,28763.81,26472.18,28900.17
2018-09-11,7.64,7.81,7.7,7.44,50688.01,0.06,0.79,7.754,7.802,7.754,26290.46,26540.56,28619.7
2018-09-10,7.72,7.78,7.64,7.61,26321.65,-0.15,-1.93,7.794,7.822,7.758,20417.94,26647.9,27795.25
2018-09-07,7.74,7.85,7.79,7.69,25949.75,0.02,0.26,7.828,7.848,7.761,19732.23,26711.54,29060.01
2018-09-06,7.85,7.88,7.77,7.76,12901.0,-0.1,-1.27,7.83,7.86,7.748,19743.33,27490.69,29365.91
2018-09-05,7.88,7.93,7.87,7.85,15591.91,-0.03,-0.38,7.858,7.861,7.731,24180.55,29163.14,31002.75
2018-09-04,7.81,7.91,7.9,7.75,21325.4,0.09,1.15,7.85,7.844,7.701,26790.66,30112.17,32261.57
2018-09-03,7.8,7.84,7.81,7.68,22893.07,0.01,0.13,7.85,7.829,7.668,32877.85,32928.36,32213.07
2018-08-31,7.92,7.92,7.8,7.79,26005.28,-0.11,-1.39,7.868,7.8,7.636,33690.85,33409.1,33239.77
2018-08-30,7.87,7.92,7.91,7.81,35087.08,0.08,1.02,7.89,7.767,7.606,35238.04,32739.11,33393.13
2018-08-29,7.79,7.88,7.83,7.76,28642.45,-0.07,-0.89,7.864,7.726,7.569,34145.73,31328.17,33227.42
2018-08-28,7.79,7.91,7.9,7.62,51761.38,0.0,0.0,7.838,7.706,7.547,33433.68,30698.84,33113.69
2018-08-27,7.9,7.94,7.9,7.84,26958.08,-0.01,-0.13,7.808,7.693,7.528,32978.88,28942.59,31704.24
2018-08-24,7.75,7.93,7.91,7.71,33741.21,0.13,1.67,7.732,7.673,7.508,33127.35,31408.48,31510.34
2018-08-23,7.7,7.79,7.78,7.63,29625.54,0.08,1.04,7.644,7.636,7.489,30240.17,31241.12,30769.24
2018-08-22,7.71,7.73,7.7,7.65,25082.18,-0.05,-0.65,7.588,7.6,7.475,28510.61,32842.35,30301.83
2018-08-21,7.55,7.77,7.75,7.5,49487.37,0.23,3.06,7.574,7.558,7.466,27964.01,34410.98,30296.95
2018-08-20,7.5,7.56,7.52,7.43,27700.47,0.05,0.67,7.578,7.507,7.449,24906.31,31497.78,30370.71
2018-08-17,7.54,7.62,7.47,7.43,19305.3,-0.03,-0.4,7.614,7.472,7.444,29689.6,33070.44,30620.4
2018-08-16,7.62,7.63,7.5,7.5,20977.73,-0.13,-1.7,7.628,7.444,7.437,32242.08,34047.15,30673.77
2018-08-15,7.79,7.83,7.63,7.61,22349.17,-0.14,-1.8,7.612,7.412,7.426,37174.1,35126.66,32711.89
2018-08-14,7.7,7.85,7.77,7.61,34198.89,0.07,0.91,7.542,7.388,7.403,40857.95,35528.54,33065.28
2018-08-13,7.49,7.7,7.7,7.47,51616.93,0.16,2.12,7.436,7.363,7.37,38089.24,34465.88,32991.24
2018-08-10,7.44,7.57,7.54,7.36,32067.66,0.12,1.62,7.33,7.342,7.339,36451.28,31612.2,31766.75
2018-08-09,7.28,7.46,7.42,7.24,45637.83,0.14,1.92,7.26,7.342,7.314,35852.23,30297.36,32553.34
