date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-20,3.94,3.95,3.9,3.9,329514.47,-0.03,-0.76,3.89,3.912,4.016,399750.53,349206.66,404146.82
2018-09-19,3.92,3.97,3.93,3.9,466470.16,0.0,0.0,3.902,3.915,4.033,399234.28,371447.09,409392.19
2018-09-18,3.84,3.94,3.93,3.79,489342.81,0.09,2.34,3.9,3.919,4.047,347848.99,365527.26,408463.58
2018-09-17,3.82,3.87,3.84,3.8,254432.16,-0.01,-0.26,3.9,3.932,4.064,306000.55,355075.26,412761.98
2018-09-14,3.95,3.96,3.85,3.85,458993.03,-0.11,-2.78,3.918,3.953,4.083,326063.15,369329.97,427741.78
2018-09-13,3.94,3.98,3.96,3.9,326933.25,0.04,1.02,3.934,3.977,4.102,298662.8,360669.32,435464.35
2018-09-12,3.93,3.95,3.92,3.9,209543.7,-0.01,-0.25,3.928,3.99,4.116,343659.9,406378.17,450618.25
2018-09-11,3.94,3.96,3.93,3.89,280100.59,0.0,0.0,3.938,4.023,4.136,383205.54,420659.09,480943.36
2018-09-10,3.91,3.97,3.93,3.89,354745.16,0.0,0.0,3.964,4.058,4.156,404149.98,433359.45,504712.92
2018-09-07,3.91,3.97,3.93,3.89,321991.28,0.0,0.0,3.988,4.093,4.181,412596.8,454253.23,541854.38
2018-09-06,3.96,3.99,3.93,3.88,551918.75,-0.04,-1.01,4.02,4.12,4.201,422675.85,459086.99,561833.9
2018-09-05,4.05,4.06,3.97,3.96,407271.91,-0.09,-2.22,4.052,4.151,4.222,469096.45,447337.29,606211.47
2018-09-04,4.04,4.09,4.06,4.01,384822.81,0.01,0.25,4.108,4.174,4.237,458112.65,451399.89,640077.78
2018-09-03,4.08,4.08,4.05,4.0,396979.25,-0.04,-0.98,4.152,4.195,4.249,462568.91,470448.69,691980.55
2018-08-31,4.08,4.13,4.09,4.07,372386.53,0.0,0.0,4.198,4.213,4.248,495909.65,486153.58,708524.61
2018-08-30,4.23,4.25,4.09,4.08,784021.75,-0.16,-3.77,4.22,4.226,4.247,495498.12,510259.38,712556.81
2018-08-29,4.27,4.27,4.25,4.21,352352.91,-0.03,-0.7,4.25,4.241,4.252,425578.14,494858.33,718343.89
