date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-20,4.19,4.2,4.14,4.13,26869.17,-0.06,-1.43,4.166,4.152,4.246,33042.33,26441.65,24426.39
2018-09-19,4.14,4.22,4.2,4.11,48467.88,0.04,0.96,4.166,4.161,4.259,30547.3,25579.64,23689.58
2018-09-18,4.18,4.19,4.16,4.07,43321.81,-0.03,-0.72,4.15,4.161,4.268,23854.64,23330.28,21932.87
2018-09-17,4.15,4.19,4.19,4.11,23321.41,0.05,1.21,4.14,4.174,4.282,20079.83,21237.16,20433.59
2018-09-14,4.17,4.21,4.14,4.14,23231.4,0.0,0.0,4.124,4.183,4.293,20940.72,22378.68,20600.68
2018-09-13,4.14,4.17,4.14,4.11,14394.0,0.02,0.48,4.138,4.195,4.313,19840.96,22540.06,20713.57
2018-09-12,4.13,4.16,4.12,4.1,15004.57,0.01,0.24,4.156,4.22,4.34,20611.98,24388.02,20887.07
2018-09-11,4.09,4.15,4.11,4.08,24447.79,0.0,0.0,4.172,4.257,4.371,22805.91,25452.98,20832.57
2018-09-10,4.21,4.21,4.11,4.08,27625.82,-0.1,-2.38,4.208,4.29,4.403,22394.49,24330.2,20657.12
2018-09-07,4.23,4.28,4.21,4.18,17732.6,-0.02,-0.47,4.242,4.322,4.434,23816.65,23156.77,20501.88
2018-09-06,4.17,4.26,4.23,4.17,18249.14,0.03,0.71,4.252,4.34,4.464,25239.17,22411.14,20133.51
2018-09-05,4.29,4.32,4.2,4.19,25974.21,-0.09,-2.1,4.284,4.356,4.493,28164.06,21799.52,20198.55
2018-09-04,4.23,4.35,4.29,4.2,22390.69,0.01,0.23,4.342,4.375,4.522,28100.05,20535.47,19629.69
2018-09-03,4.26,4.3,4.28,4.1,34736.61,0.02,0.47,4.372,4.389,4.551,26265.91,19630.02,19580.35
2018-08-31,4.37,4.37,4.26,4.26,24845.2,-0.13,-2.96,4.402,4.403,4.577,22496.89,18822.68,18983.6
