date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-20,6.4,6.55,6.47,6.39,97857.56,0.07,1.09,6.338,6.248,6.334,62169.59,54263.7,68911.01
2018-09-19,6.33,6.47,6.4,6.32,59357.01,0.05,0.79,6.276,6.218,6.327,52160.65,54958.08,66367.74
2018-09-18,6.25,6.37,6.35,6.23,58011.0,0.07,1.11,6.22,6.213,6.322,48299.36,57288.69,66844.51
2018-09-17,6.16,6.39,6.28,6.15,57259.0,0.09,1.45,6.18,6.225,6.325,45674.17,56415.23,66694.24
2018-09-14,6.14,6.21,6.19,6.13,38363.39,0.03,0.49,6.16,6.242,6.329,42627.58,59596.43,66752.59
2018-09-13,6.14,6.19,6.16,6.12,47812.83,0.04,0.65,6.158,6.278,6.339,46357.82,67425.0,67984.35
2018-09-12,6.13,6.18,6.12,6.07,40050.58,-0.03,-0.49,6.16,6.318,6.351,57755.51,78132.58,69356.65
2018-09-11,6.18,6.2,6.15,6.1,44885.07,-0.03,-0.48,6.206,6.349,6.37,66278.03,80727.46,72003.77
2018-09-10,6.17,6.19,6.18,6.0,42026.01,0.0,0.0,6.27,6.382,6.386,67156.29,83981.91,76559.44
2018-09-07,6.17,6.26,6.18,6.15,57014.59,0.01,0.16,6.324,6.404,6.394,76565.29,86314.12,78161.47
2018-09-06,6.34,6.38,6.17,6.16,104801.3,-0.18,-2.83,6.398,6.42,6.399,88492.19,83558.32,78346.95
2018-09-05,6.45,6.49,6.35,6.35,82663.17,-0.12,-1.85,6.476,6.435,6.405,98509.65,77777.41,79088.47
2018-09-04,6.42,6.52,6.47,6.42,49276.38,0.02,0.31,6.492,6.431,6.395,95176.9,76400.32,78769.63
2018-09-03,6.55,6.61,6.45,6.39,89071.0,-0.1,-1.53,6.494,6.425,6.381,100807.53,76973.25,81445.19
2018-08-31,6.61,6.69,6.55,6.53,116649.09,-0.01,-0.15,6.484,6.416,6.364,96062.96,73908.75,83921.47
2018-08-30,6.47,6.64,6.56,6.44,154888.59,0.13,2.02,6.442,6.399,6.353,78624.45,68543.7,86091.85
2018-08-29,6.49,6.52,6.43,6.36,65999.42,-0.05,-0.77,6.394,6.383,6.344,57045.17,60580.72,94006.44
