date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-20,6.16,6.39,6.2,6.12,120771.95,0.06,0.98,6.05,6.048,6.157,64862.55,56085.77,55083.0
2018-09-19,5.96,6.18,6.14,5.95,83521.84,0.16,2.68,6.024,6.042,6.164,49540.46,48505.39,52243.01
2018-09-18,5.89,6.0,5.98,5.88,36201.83,0.09,1.53,5.998,6.037,6.168,40719.01,44648.05,51275.3
2018-09-17,6.03,6.03,5.89,5.89,48197.41,-0.15,-2.48,6.002,6.061,6.189,44908.87,46132.02,52505.27
2018-09-14,6.06,6.09,6.04,6.01,35619.72,-0.03,-0.49,6.03,6.086,6.214,44089.72,47031.63,53503.91
2018-09-13,6.05,6.11,6.07,6.01,44161.5,0.06,1.0,6.046,6.101,6.231,47309.0,49133.99,54914.31
2018-09-12,6.01,6.05,6.01,5.98,39414.6,0.01,0.17,6.06,6.119,6.25,47470.32,49749.06,55176.38
2018-09-11,6.05,6.11,6.0,5.97,57151.12,-0.03,-0.5,6.076,6.156,6.271,48577.09,51624.58,56146.07
2018-09-10,6.1,6.14,6.03,6.02,44101.66,-0.09,-1.47,6.12,6.203,6.3,47355.18,52314.79,55908.47
2018-09-07,6.11,6.22,6.12,6.06,51716.1,-0.02,-0.33,6.142,6.245,6.331,49973.53,54876.75,58074.97
2018-09-06,6.1,6.22,6.14,6.08,44968.13,0.05,0.82,6.156,6.266,6.353,50958.98,54080.22,58702.72
2018-09-05,6.2,6.23,6.09,6.08,44948.42,-0.13,-2.09,6.178,6.285,6.375,52027.8,55980.63,61881.22
2018-09-04,6.13,6.25,6.22,6.11,51041.57,0.08,1.3,6.236,6.298,6.387,54672.07,57902.55,62194.37
2018-09-03,6.19,6.19,6.14,6.01,57193.44,-0.05,-0.81,6.286,6.317,6.397,57274.41,58878.51,62636.66
2018-08-31,6.24,6.28,6.19,6.18,56643.34,-0.06,-0.96,6.348,6.341,6.403,59779.97,59976.2,62747.49
2018-08-30,6.39,6.39,6.25,6.25,50312.25,-0.13,-2.04,6.376,6.36,6.412,57201.46,60694.63,62428.86
2018-08-29,6.49,6.49,6.38,6.34,58169.74,-0.09,-1.39,6.392,6.38,6.42,59933.46,60603.69,65204.09
