,Unnamed: 0,Code,Securities,SRCI,WindI,Tos,"TSC(10,000)","CAS(10,000)","CBS(10,000)","CHS(10,000)","TBAS(10,000)","TBBS(10,000)","OTS(10,000)","TOTS(10,000)","RS_of_AS(10,000)","RS_of_BS(10,000)","RS/SH(10,000)","RS/SOL(10,000)","RS/ODS(10,000)","RS/DLPH(10,000)","RS/IPS(10,000)","RS/EH(10,000)","RS/DNPH(10,000)","RS/FS(10,000)","RS/OLPH(10,000)","RS/INPH(10,000)",CAS(%),CBS(%),CHS(%),CST(%),ROAS(%),Deadline,TSC_FDOL,CS_FDOL,Proportion_FDOL(%),TSC_Latest,CS_Latest,Proportion_Latest(%),TSC_ALL_Amplitude(%),CS_ALL_Amplitude(%),Total_ALL_Number,TSC_ALL_Number,NOSH_Executive_ALL,"FMV_Executive_ALL(￥10,000)",NOSH_Chairman,"FMV_Chairman(￥10,000)",NOSH_Directors,"FMV_Directors(￥10,000)",NOSH_supervisor,"FMV_supervisor(￥10,000)",NOPI_fund_S1,"Total_stock_fund_S1(10,000)",ICASP_fund_S1(%),"MVOP_fund_S1(￥10,000)",NOPI_Broker_S1,"Total_stock_Broker_S1(10,000)",ICASP_Broker_S1(%),"MVOP_Broker_S1(￥10,000)",NOPI_Insurance_S1,"Total_stock_Insurance_S1(10,000)",ICASP_Insurance_S1(%),"MVOP_Insurance_S1(￥10,000)",NOPI_SS_S1,"Total_stock_SS_S1(10,000)",ICASP_SS_S1(%),"MVOP_SS_S1(￥10,000)",NOPI_QFII_S1,"Total_stock_QFII_S1(10,000)",ICASP_QFII_S1(%),"MVOP_QFII_S1(￥10,000)",NOPI_Other_S1,"Total_stock_Other_S1(10,000)",ICASP_Other_S1(%),"MVOP_Other_S1(￥10,000)",NOPI_fund_S2,"Total_stock_fund_S2(10,000)",ICASP_fund_S2(%),"MVOP_fund_S2(￥10,000)",NOPI_Broker_S2,"Total_stock_Broker_S2(10,000)",ICASP_Broker_S2(%),"MVOP_Broker_S2(￥10,000)",NOPI_Insurance_S2,"Total_stock_Insurance_S2(10,000)",ICASP_Insurance_S2(%),"MVOP_Insurance_S2(￥10,000)",NOPI_SS_S2,"Total_stock_SS_S2(10,000)",ICASP_SS_S2(%),"MVOP_SS_S2(￥10,000)",NOPI_QFII_S2,"Total_stock_QFII_S2(10,000)",ICASP_QFII_S2(%),"MVOP_QFII_S2(￥10,000)",NOPI_Other_S2,"Total_stock_Other_S2(10,000)",ICASP_Other_S2(%),"MVOP_Other_S2(￥10,000)",Now_CSEC_S1(%),Change_CSEC_S1(%),Ps_CSEC_S1(%),rt_CSEC_S1,Now_CSEC_S2(%),Change_CSEC_S2(%),PS_CSEC_S2(%),RT_CSEC_S2,NC_ISSMT,NOSI_ISSMT,TDOC_ISSMT,"TNPS_ISSMT(10,000)","ITRVOHS_ISSMT(￥10,000)",Currency_ISSMT,EC_MS_S1_1(%),EC_MS_S1_2(%),EC_MS_S1_3(%),Time_S1,EC_MS_S2_1(%),EC_MS_S2_2(%),EC_MS_S2_3(%),Time_S2,SSP_BD,1day_SSP_RAF(%),5day_SSP_RAF(%),10day_SSP_RAF(%),20day_SSP_RAF(%),60day_SSP_RAF(%),120day_SSP_RAF(%),250day_SSP_RAF(%),1day_SSP_transaction(%),5day_SSP_transaction(%),10day_SSP_transaction(%),20day_SSP_transaction(%),60day_SSP_transaction(%),120day_SSP_transaction(%),250day_SSP_transaction(%),"1day_SSP_NOT(10,000)","5day_SSP_NOT(10,000)","10day_SSP_NOT(10,000)","20day_SSP_NOT(10,000)","60day_SSP_NOT(10,000)","120day_SSP_NOT(10,000)","250day_SSP_NOT(10,000)","1day_SSP_NOT(￥10,000)","5day_SSP_NOT(￥10,000)","10day_SSP_NOT(￥10,000)","20day_SSP_NOT(￥10,000)","60day_SSP_NOT(￥10,000)","120day_SSP_NOT(￥10,000)","250day_SSP_NOT(￥10,000)",RAF_SCF(%),"MNI_SCF(￥10,000)","Turnover_SCF(￥10,000)",MNIR_SCF(%),CID_SCF,MNI_SCF(hand),MNIP_SCF(%),"NIOO_SCF(￥10,000)","NIOL_SCF(￥10,000)",Date_MTS,SV_MTS(100m),MV_MTS(￥100m),TAFTTTOABS_MTS(%),RTD_MTS,Date_MCF_S1,MNI_MCF_S1,MNO_MCF_S1,"MNI_MCF_S1(￥10,000)","NIOO_MCF_S1(￥10,000)","NIOL_MCF_S1(￥10,000)","SLNI_MCF_S1(￥10,000)","LNI_MCF_S1(￥10,000)","NIOMS_MCF_S1(￥10,000)","SSNI_MCF_S1(￥10,000)",Date_MCF_S2,MNI_MCF_S2,MNO_MCF_S2,"MNI_MCF_S2(￥10,000)","NIOO_MCF_S2(￥10,000)","NIOL_MCF_S2(￥10,000)","SLNI_MCF_S2(￥10,000)","LNI_MCF_S2(￥10,000)","NIOMS_MCF_S2(￥10,000)","SSNI_MCF_S2(￥10,000)",Date_MCF_S3,MNI_MCF_S3,MNO_MCF_S3,"MNI_MCF_S3(￥10,000)","NIOO_MCF_S3(￥10,000)","NIOL_MCF_S3(￥10,000)","SLNI_MCF_S3(￥10,000)","LNI_MCF_S3(￥10,000)","NIOMS_MCF_S3(￥10,000)","SSNI_MCF_S3(￥10,000)",RRQ_SR,RRA_SR,RSR_SR,RERS_SR,RRHP_SR,RRLP_SR,Currency_SR,TD_LT,DP_LT,CPOTPTD_LT,DR_LT(%),CPOTD_LT,"Volume_LT (10,000/Share/paper)","Turnover_LT(￥10,000)",GC_LT,BSD_LT,SSD_LT
53,53,000069.SZ,华侨城A,Real estate,Consumer Service Ⅱ,A shares,"820,408.1415","614,420.0630",0.0000,0.0000,0.0,0.0,0.0,"614,420.0630","205,988.0785",0.0,0.0000,"128,499.5230","77,462.3055","70,484.5815",0.0,0.0000,"6,977.7240",26.2500,0.0000,26.25,74.89,0.0,0.0,74.89,25.11,2018/06/30,"19,200.00","4,558.00",23.74,"820,408.14","614,420.06",74.89,"4,172.96","13,380.04",52.0,19.0,"3,227,982","2,333.83",0,0,"2,797,982","2,022.94","430,000",310.89,35.0,"15,311.48",2.49,"126,166.61",0.0,0,0.0,0,1.0,"3,529.70",0.57,"29,084.75",5.0,"39,463.97",6.42,"325,183.14",0.0,0,0.0,0,3.0,"344,497.57",56.04,"2,838,659.95",300.0,"30,533.62",4.97,"220,758.07",0.0,0,0.0,0,0.0,0,0.0,0,4.0,"33,098.00",5.39,"239,298.51",0.0,0,0.0,0,5.0,"346,953.49",56.47,"2,508,473.72",47.94,-0.22,48.16,2018/03/31,47.03,-0.91,47.94,2018/06/30,2.0,2.0,flat,0.00,0.00,CNY,71.52,-0.31,71.83,2018/03/31,70.27,-1.25,71.52,2018/06/30,2018/09/13,0.84,-0.99,-5.37,-5.52,-20.64,-24.65,-28.1,0.25,1.64,4.13,7.9,23.87,51.46,168.58,"1,525.19","10,095.33","25,380.14","48,546.44","146,653.92","316,295.06","1,035,675.61",0.91,6.06,15.53,30.27,95.50,230.99,889.00,-21.04,"-31,163.40","940,276.13",-3.31,-1.0,"-457,530",-0.91,"-8,191.16","-1,987.84",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"7,456,000.00","1,600,000","2,575,000",4.66,4.66,CNY,0.0,0.0,0.0,0.0,0.0,1253.7,9853.5,0.0,0.0,0.0
54,54,000070.SZ,特发信息,Electrical machinery and equipment manufacturing,Technical hardware and equipment,A shares,"62,699.4746","54,176.8438",0.0000,0.0000,0.0,0.0,0.0,"54,176.8438","8,522.6308",0.0,0.0000,0.0000,"8,522.6308",0.0000,0.0,0.0000,"8,522.6308",0.0000,0.0000,0.0,86.41,0.0,0.0,86.41,13.59,2018/06/30,"25,000.00","6,300.00",25.2,"62,699.47","54,176.84",86.41,150.80,759.95,29.0,3.0,"110,000",79.75,0,0,"110,000",79.75,0,0,1.0,214.56,0.4,"2,038.28",0.0,0,0.0,0,1.0,342.47,0.63,"3,253.51",0.0,0,0.0,0,0.0,0,0.0,0,5.0,"27,743.07",51.2,"263,559.16",20.0,863.25,1.59,"6,258.56",0.0,0,0.0,0,1.0,342.47,0.63,"2,482.94",0.0,0,0.0,0,0.0,0,0.0,0,5.0,"27,743.07",51.21,"201,137.25",46.39,-0.05,46.44,2018/03/31,46.7,0.31,46.39,2018/06/30,2.0,2.0,Reduce holding,-6.53,-75.66,CNY,56.8,-0.21,57.01,2018/03/31,56.83,0.03,56.8,2018/06/30,2018/09/13,2.1,-1.48,-4.95,-4.33,8.31,-22.42,-32.25,0.51,2.42,5.7,15.5,59.26,141.86,335.58,277.99,"1,312.67","3,087.33","8,397.04","32,107.41","76,863.15","181,829.98",0.2,0.95,2.28,6.44,24.59,66.31,179.82,5.8,"-5,007.71","244,075.51",-2.05,1.0,"-69,078",-1.26,-791.72,-690.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,38.78,396.33,0.0,0.0,0.0
55,55,000078.SZ,海王生物,Retail industry,Healthcare equipment and services,A shares,"264,661.3257","185,665.4688",0.0000,0.0000,0.0,0.0,0.0,"185,665.4688","78,995.8569",0.0,0.0000,0.0000,"78,995.8569","76,530.6120",0.0,0.0000,"2,465.2449",0.0000,0.0000,0.0,70.15,0.0,0.0,70.15,29.85,2018/06/30,"7,640.00","1,719.00",22.5,"264,661.33","185,665.47",70.15,"3,364.15","10,700.78",32.0,14.0,0,0,0,0,0,0,0,0,5.0,"1,735.00",0.93,"10,566.17",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,"59,132.45",31.85,"360,116.62",103.0,"4,291.96",2.31,"20,644.32",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,"59,586.30",32.09,"286,610.10",23.58,1.0,22.58,2018/03/31,24.23,0.65,23.58,2018/06/30,4.0,1.0,Increase holdings,433.32,"9,633.43",CNY,52.52,0.94,51.58,2018/03/31,53.15,0.63,52.52,2018/06/30,2018/09/13,0.78,1.04,0.52,-4.89,-17.06,-35.49,-35.44,0.75,2.42,5.08,10.04,34.14,85.46,238.30,"1,383.45","4,492.26","9,435.88","18,636.44","63,390.85","158,672.56","442,439.62",0.54,1.73,3.64,7.22,26.81,81.68,258.19,-17.76,"-11,990.83","265,948.39",-4.51,-1.0,"-274,080",-1.66,"-3,265.92",-583.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"5,506,290.00","1,597,500","17,087,500",3.82,3.24,CNY,0.0,0.0,0.0,0.0,0.0,50.0,252.5,0.0,0.0,0.0
56,56,000088.SZ,盐田港,Road transport industry,transport,A shares,"194,220.0000","194,220.0000",0.0000,0.0000,0.0,0.0,0.0,"194,220.0000",0.0000,0.0,0.0000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,0.0000,0.0,100.0,0.0,0.0,100.0,0.0,2016/12/31,"58,500.00","11,647.00",19.91,"194,220.00","194,220.00",100.0,232.00,"1,567.55",18.0,4.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0,"151,743.44",78.13,"1,107,727.11",23.0,287.69,0.15,"1,895.87",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0,"151,743.44",78.13,"999,989.27",78.13,0.0,78.13,2018/03/31,78.13,0.0,78.13,2018/06/30,1.0,1.0,Reduce holding,-540.00,"-12,990.19",CNY,78.13,0.0,78.13,2018/03/31,78.13,0.0,78.13,2018/06/30,2018/09/13,0.75,-0.92,-5.1,-5.76,-14.25,-26.76,-41.97,0.17,0.79,1.73,4.27,20.24,48.15,98.96,323.35,"1,525.26","3,350.40","8,299.20","39,312.20","93,518.54","192,193.46",0.17,0.82,1.84,4.62,23.06,63.93,146.99,-15.71,"-10,336.98","226,212.38",-4.57,-2.0,"-182,158",-0.99,"-4,711.45",-133.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
57,57,000089.SZ,深圳机场,Air transport industry,transport,A shares,"205,076.9509","205,076.9509",0.0000,0.0000,0.0,0.0,0.0,"205,076.9509",0.0000,0.0,0.0000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,0.0000,0.0,100.0,0.0,0.0,100.0,0.0,2015/12/31,"30,000.00","9,575.00",31.92,"205,076.95","205,076.95",100.0,583.59,"2,041.80",24.0,14.0,0,0,0,0,0,0,0,0,15.0,"2,472.97",1.21,"20,896.57",0.0,0,0.0,0,0.0,0,0.0,0,1.0,"1,637.21",0.8,"13,834.42",5.0,"17,147.52",8.36,"144,896.51",2.0,"124,300.15",60.61,"1,050,336.23",115.0,"11,375.53",5.55,"87,022.78",0.0,0,0.0,0,0.0,0,0.0,0,1.0,"1,974.34",0.96,"15,103.70",4.0,"11,480.14",5.6,"87,823.08",2.0,"122,217.90",59.6,"934,966.93",71.08,-1.17,72.25,2018/03/31,68.49,-2.59,71.08,2018/06/30,2.0,2.0,Reduce holding,-0.08,-5.52,CNY,71.07,-1.17,72.24,2018/03/31,68.49,-2.58,71.07,2018/06/30,2018/09/13,0.52,0.79,-5.64,-8.34,-2.29,-6.91,-11.56,0.23,1.62,3.49,7.3,31.48,68.59,136.45,472.07,"3,320.56","7,151.25","14,970.05","64,550.57","140,654.17","279,836.17",0.36,2.53,5.56,11.95,51.77,112.21,234.24,-0.65,"-3,167.73","500,511.29",-0.63,3.0,"-45,919",-0.21,"1,333.54","-3,296.70",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
58,58,000090.SZ,天健集团,Civil engineering construction industry,Capital goods,A shares,"143,734.2642","92,816.0473",0.0000,0.0000,0.0,0.0,0.0,"92,816.0473","50,918.2169",0.0,0.0000,"27,768.5951","23,149.6218","23,140.4958",0.0,0.0000,9.1260,0.0000,0.0000,0.0,64.57,0.0,0.0,64.57,35.43,2018/06/30,"22,326.16","5,220.00",23.38,"143,734.26","92,816.05",64.57,543.79,"1,678.09",24.0,8.0,"121,680",75.44,"120,000",74.40,"1,680",1.04,0,0.00,3.0,"1,506.78",1.95,"14,736.27",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,"32,032.05",41.41,"313,273.44",53.0,"2,765.25",2.98,"17,144.52",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,"38,438.46",41.41,"238,318.44",29.37,0.07,29.3,2018/03/31,29.38,0.01,29.37,2018/06/30,2.0,2.0,Reduce holding,-7.91,-44.38,CNY,58.1,0.0,58.1,2018/03/31,58.1,0.0,58.1,2018/06/30,2018/09/13,0.88,-0.86,-2.04,-3.19,-7.62,-26.84,-39.95,0.32,1.4,2.53,5.88,29.64,68.51,217.01,300.72,"1,294.97","2,346.58","5,453.74","27,190.32","57,260.19","172,124.88",0.17,0.75,1.36,3.2,16.50,43.51,168.17,-9.62,"-5,660.95","162,577.37",-3.48,-4.0,"-91,616",-1.06,"-1,675.06",-104.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
59,59,000096.SZ,广聚能源,Wholesale industry,energyⅡ,A shares,"52,800.0000","51,084.8000",0.0000,0.0000,0.0,0.0,0.0,"51,084.8000","1,715.2000",0.0,0.0000,"1,715.2000",0.0000,0.0000,0.0,0.0000,0.0000,0.0000,0.0000,0.0,96.75,0.0,0.0,96.75,3.25,2010/12/31,"33,000.00","8,500.00",25.76,"52,800.00","51,084.80",96.75,60.00,501.00,10.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,"32,330.35",63.29,"395,400.16",2.0,5.02,0.01,54.42,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,"32,542.58",63.7,"352,761.55",67.08,-0.05,67.13,2018/03/31,68.33,1.25,67.08,2018/06/30,5.0,2.0,Increase holdings,3.00,8.43,CNY,70.33,-0.04,70.37,2018/03/31,71.58,1.25,70.33,2018/06/30,2018/09/13,1.77,1.67,1.97,-2.26,-3.45,-20.02,-27.04,0.19,0.35,0.61,1.24,10.15,22.39,46.79,94.75,179.77,312.12,635.68,"5,183.81","11,440.37","23,902.14",0.1,0.18,0.32,0.65,5.53,12.64,29.75,-3.45,"-1,209.47","54,738.23",-2.21,-2.0,"-10,565",-0.23,-245.12,"2,708.96",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,662.07,7196.3,0.0,0.0,0.0
60,60,000099.SZ,中信海直,Air transport industry,transport,A shares,"60,607.0420","60,607.0420",0.0000,0.0000,0.0,0.0,0.0,"60,607.0420",0.0000,0.0,0.0000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,0.0000,0.0,100.0,0.0,0.0,100.0,0.0,2014/09/22,"19,600.00","6,000.00",30.61,"60,607.04","60,607.04",100.0,209.22,910.12,15.0,12.0,0,0,0,0,0,0,0,0,1.0,430.58,0.71,"3,711.60",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,"25,731.75",42.46,"221,807.66",21.0,684.20,1.13,"4,351.50",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,"25,731.81",42.46,"163,654.33",47.01,-1.33,48.34,2018/03/31,47.26,0.25,47.01,2018/06/30,4.0,1.0,Reduce holding,"-2,461.33","-11,942.32",CNY,47.01,-1.34,48.35,2018/03/31,47.27,0.26,47.01,2018/06/30,2018/09/13,2.13,1.63,3.83,3.15,0.65,-27.21,-44.6,0.7,2.12,4.48,7.48,28.99,98.77,161.73,423.43,"1,283.19","2,715.06","4,531.97","17,567.34","59,860.43","98,021.55",0.26,0.78,1.66,2.75,11.02,46.52,81.87,-0.16,"-3,992.88","108,378.49",-3.68,-1.0,"-64,199",-1.06,"-1,772.36",-300.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
61,61,000100.SZ,TCL集团,"Computer, communications and other electronic equipment manufacturing",Durable consumer goods and clothing,A shares,"1,354,964.8507","1,172,793.0515",0.0000,0.0000,0.0,0.0,0.0,"1,172,793.0515","182,171.7992",0.0,0.0000,0.0000,"173,090.1501","121,075.7974",0.0,0.0000,"52,014.3527","9,081.6491","9,053.2347",28.4144,86.56,0.0,0.0,86.56,13.44,2018/06/30,"258,633.11","99,439.59",38.45,"1,354,964.85","1,172,793.05",86.56,423.89,"1,079.40",48.0,18.0,0,0,0,0,0,0,0,0,14.0,"4,605.57",0.39,"15,981.34",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,"361,936.01",30.86,"1,255,917.96",203.0,"32,856.99",2.8,"95,285.26",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,"368,335.39",31.41,"1,068,172.63",27.96,10.15,17.81,2018/03/31,28.36,0.4,27.96,2018/06/30,1.0,1.0,Increase holdings,0.47,2.79,CNY,37.81,-2.83,40.64,2018/03/31,38.19,0.38,37.81,2018/06/30,2018/09/13,0.74,-1.44,-4.21,-2.5,-1.44,-22.75,-21.23,0.25,1.63,4.03,9.02,31.67,65.9,306.62,"2,944.07","19,059.24","47,239.45","105,732.82","371,470.27","772,886.39","3,006,744.43",0.8,5.21,13.13,29.77,105.89,237.49,"1,163.88",-2.5,"3,758.63","1,029,556.50",0.37,-1.0,"74,042",0.12,"-15,537.20","4,017.55",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4530.11,12446.45,0.0,0.0,0.0
62,62,000150.SZ,宜华健康,health,Healthcare equipment and services,A shares,"62,692.6827","52,558.1403",0.0000,0.0000,0.0,0.0,0.0,"52,558.1403","10,134.5424",0.0,0.0000,0.0000,"10,134.5424","5,121.9511",0.0,0.0000,"5,012.5913",0.0000,0.0000,0.0,83.83,0.0,0.0,83.83,16.17,2018/07/16,"18,000.00","7,000.00",38.89,"62,692.68","52,558.14",83.83,248.29,650.83,14.0,4.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,1.0,"1,061.67",2.83,"30,246.86",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,"20,523.24",54.68,"584,707.17",17.0,51.75,0.14,"1,402.47",1.0,"1,061.67",2.83,"28,771.14",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,"19,960.55",53.17,"540,930.95",57.13,-0.6,57.73,2018/03/31,57.17,0.04,57.13,2018/06/30,1.0,1.0,Increase holdings,164.30,"1,723.26",CNY,71.68,-0.65,72.33,2018/03/31,71.72,0.04,71.68,2018/06/30,2018/09/13,0.0,-0.75,-3.34,-6.4,-16.79,-18.01,-13.91,0.11,0.52,1.28,2.24,7.11,13.99,59.49,60.40,274.10,670.51,"1,177.48","3,490.39","6,075.21","22,880.69",0.1,0.44,1.07,1.9,6.74,14.09,62.06,-16.48,"1,081.32","66,185.65",1.63,-1.0,"5,173",0.13,-142.56,"3,122.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,907.59,21260.74,0.0,0.0,0.0
63,63,000151.SZ,中成股份,Wholesale industry,Capital goods,A shares,"29,598.0000","26,654.3967",0.0000,0.0000,0.0,0.0,0.0,"26,654.3967","2,943.6033",0.0,0.0000,"2,943.6033",0.0000,0.0000,0.0,0.0000,0.0000,0.0000,0.0000,0.0,90.05,0.0,0.0,90.05,9.95,2010/04/09,"19,732.00","7,000.00",35.48,"29,598.00","26,654.40",90.05,50.00,280.78,5.0,1.0,0,0,0,0,0,0,0,0,1.0,100.85,0.38,"1,792.10",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,41.05,0.15,729.41,2.0,"10,612.35",39.81,"188,581.46",5.0,60.22,0.23,717.22,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,56.94,0.21,678.16,2.0,"10,612.35",39.81,"126,393.09",37.6,-0.34,37.94,2018/03/31,39.04,1.44,37.6,2018/06/30,25.0,2.0,Increase holdings,814.64,"12,484.16",CNY,47.55,-0.34,47.89,2018/03/31,48.99,1.44,47.55,2018/06/30,2018/09/13,1.32,-0.26,-9.11,-4.49,3.89,-40.22,-35.73,2.09,9.88,31.48,88.13,309.54,839.32,"1,051.33",556.75,"2,634.27","8,390.27","23,489.57","82,507.27","223,715.02","280,226.55",0.64,3.0,9.93,28.17,101.35,334.45,418.06,1.41,"-43,247.41","1,005,564.76",-4.3,-5.0,"-360,056",-14.11,"-17,557.76",-720.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
64,64,000153.SZ,丰原药业,Pharmaceutical manufacturing,"Pharmaceutical, Biotechnology and Life Sciences",A shares,"31,707.7630","31,197.7230",0.0000,0.0000,0.0,0.0,0.0,"31,197.7230",510.0400,0.0,0.0000,0.0000,510.0400,16.4000,0.0,0.0000,493.6400,0.0000,0.0000,0.0,98.39,0.0,0.0,98.39,1.61,2017/11/28,"6,500.23","2,500.00",38.46,"31,707.76","31,197.72",98.39,387.79,"1,147.91",17.0,4.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,"10,198.26",32.69,"85,665.41",7.0,41.96,0.13,267.29,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,"10,198.26",32.69,"64,962.93",34.59,0.28,34.31,2018/03/31,34.32,-0.27,34.59,2018/06/30,3.0,3.0,Reduce holding,-51.00,-318.61,CNY,34.6,0.28,34.32,2018/03/31,34.33,-0.27,34.6,2018/06/30,2018/09/13,0.99,0.0,-1.45,-3.77,0.99,-22.73,-39.23,0.25,1.28,2.52,5.63,38.53,116.94,234.01,79.06,400.01,786.07,"1,754.93","12,019.48","36,483.68","73,005.62",0.05,0.24,0.48,1.09,7.94,27.67,60.10,-0.81,-461.71,"78,608.73",-0.59,1.0,"-7,834",-0.24,-707.32,"1,377.63",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
